epoch,lr,train_loss,val_loss,train_auc,val_auc,val_sens,val_spec,val_bal_acc,sec
1,9.972609476841367e-05,0.6926371307237774,0.6809179464590203,0.513207304526749,0.6005967604433077,0.11764705882352941,0.8260869565217391,0.4718670076726343,4.548044443130493
2,9.890738003669029e-05,0.6877764391560927,0.6755800912681135,0.576684670781893,0.7011935208866155,0.29411764705882354,0.8840579710144928,0.5890878090366581,2.1756162643432617
3,9.755282581475769e-05,0.6774382334792586,0.6771654486656189,0.7145318930041153,0.7378516624040921,0.6470588235294118,0.7101449275362319,0.6786018755328218,2.1720399856567383
4,9.567727288213003e-05,0.6768437502795641,0.6850923490755766,0.6958976337448559,0.7527706734867861,0.9117647058823529,0.43478260869565216,0.6732736572890026,2.1760103702545166
5,9.330127018922194e-05,0.6680207169365939,0.6583732829510587,0.7210390946502057,0.8196930946291561,0.5882352941176471,0.8840579710144928,0.7361466325660699,2.1544339656829834
6,9.045084971874738e-05,0.6537601038919273,0.6404791497489781,0.7791280864197532,0.845694799658994,0.6470588235294118,0.855072463768116,0.7510656436487639,2.1780176162719727
7,8.715724127386972e-05,0.6434426758588065,0.6352148877764211,0.8002057613168725,0.8397271952259164,0.7352941176470589,0.855072463768116,0.7951832907075874,2.195117950439453
8,8.345653031794292e-05,0.6182162017686993,0.6277133434721567,0.8377057613168724,0.8350383631713555,0.35294117647058826,0.9130434782608695,0.6329923273657289,2.202106475830078
9,7.938926261462366e-05,0.6076177570695854,0.5915793423513764,0.8073559670781892,0.8721227621483375,0.7647058823529411,0.8115942028985508,0.788150042625746,2.217986583709717
10,7.500000000000001e-05,0.5796191830443435,0.606249708863138,0.8390689300411522,0.8331202046035806,0.8235294117647058,0.6521739130434783,0.7378516624040921,2.229146718978882
11,7.033683215379003e-05,0.5504797054520736,0.585978460543364,0.8522633744855966,0.8307757885763,0.7647058823529411,0.6811594202898551,0.7229326513213981,2.2092323303222656
12,6.545084971874738e-05,0.5278778958264254,0.5436596916717233,0.8630915637860082,0.8687127024722933,0.7941176470588235,0.8260869565217391,0.8101023017902813,2.192230701446533
13,6.039558454088797e-05,0.4929400981177111,0.4931350437182825,0.8849408436213991,0.9015345268542199,0.7941176470588235,0.8695652173913043,0.8318414322250639,2.2112061977386475
14,5.522642316338269e-05,0.4650555916711794,0.4935879565558387,0.9034850823045267,0.9053708439897697,0.8529411764705882,0.7971014492753623,0.8250213128729753,2.2293474674224854
15,5.000000000000002e-05,0.45135494742551313,0.4930806498504379,0.8954989711934156,0.8976982097186701,0.8529411764705882,0.7971014492753623,0.8250213128729753,2.2299742698669434
16,4.4773576836617344e-05,0.42205658174575644,0.44907079159634783,0.9152777777777779,0.9185848252344416,0.8235294117647058,0.8840579710144928,0.8537936913895994,2.2296040058135986
17,3.9604415459112035e-05,0.3968369374602117,0.409955116151606,0.9268261316872428,0.9290281329923273,0.7647058823529411,0.927536231884058,0.8461210571184996,2.252993583679199
18,3.4549150281252636e-05,0.38719378182792213,0.41847777959791205,0.9299382716049382,0.9224211423699915,0.7941176470588235,0.8985507246376812,0.8463341858482523,2.253265142440796
19,2.966316784621e-05,0.38051877179607996,0.4309435171409718,0.924048353909465,0.9121909633418585,0.7941176470588235,0.855072463768116,0.8245950554134698,2.2649552822113037
20,2.5000000000000015e-05,0.37145007720512135,0.4338153635413901,0.9316872427983539,0.9117647058823529,0.8235294117647058,0.8695652173913043,0.8465473145780051,2.2585339546203613
21,2.0610737385376352e-05,0.3527439216561351,0.4568724776934652,0.9397505144032922,0.9104859335038363,0.8529411764705882,0.7971014492753623,0.8250213128729753,2.252880811691284
22,1.654346968205711e-05,0.33746942567768956,0.44509509075613857,0.9433641975308642,0.9092071611253197,0.8235294117647058,0.8405797101449275,0.8320545609548167,2.2667157649993896
23,1.2842758726130304e-05,0.3463681662899946,0.444982584819053,0.9357381687242798,0.9104859335038364,0.8823529411764706,0.8260869565217391,0.8542199488491049,2.2706711292266846
24,9.549150281252636e-06,0.31022929025034535,0.42913765597690656,0.9551183127572017,0.9138959931798806,0.8235294117647058,0.8695652173913043,0.8465473145780051,2.248757839202881
